galaxy_id,spectrum_index,filename,gal_ra,gal_dec,gal_redshift,gal_redshift_err,gal_radius,spec_ra,spec_dec,spec_distance,spec_redshift,spec_redshift_err,class,subclass,vel_disp,vel_disp_err
1237656567039787633,0,1237656567039787633_0.fits,315.903027033787,-1.22852938693264,0.043284,0.015217,3.411275,315.903,-1.2285646,0.046845562275168166,0.0645438,7.137781e-06,GALAXY,STARFORMING,133.1707,39.50918
1237656567042343485,0,1237656567042343485_0.fits,321.637909591718,-1.12279996353434,0.202843,0.018906,1.449321,321.63791,-1.1228035,0.008842628799936596,0.2234196,4.110846e-05,GALAXY,,233.5732,14.08803
1237663456705970284,0,1237663456705970284_0.fits,324.560730666068,-0.783785097429241,0.121058,0.05116,2.398588,324.56073,-0.78378731,0.0034679924745921946,0.1361635,2.475402e-05,QSO,AGN BROADLINE,0,0
1237663456705970284,1,1237663456705970284_1.fits,324.560730666068,-0.783785097429241,0.121058,0.05116,2.398588,324.56033,-0.7832213,1.0380760831007971,0.1362034,9.160372e-06,GALAXY,STARFORMING,65.43192,20.45574
