specObjID,class,subClass,z,ra,dec,plate,fiberID,MJD,OII3726,OIII4959,OIII5007,HBeta,HAlpha,NII6584,logM
1109090338984716288,GALAXY,STARFORMING,0.0645438,315.903,-1.2285646000000001,985,287,52431,80.6043,19.88178,62.38308000000001,48.438759999999995,158.3462,30.692320000000002,10.039219930207802
1112474362390276096,GALAXY,,0.2234196,321.63791000000003,-1.1228035,988,310,52520,6.89355,1.433883,1.3587120000000001,-19.078789999999998,-1.009784,10.12107,11.513085126453301
1158565346647500800,GALAXY,STARFORMING,0.13620339999999997,324.56032999999996,-0.7832213000000001,1029,52,52912,39.15007,11.09579,27.127229999999997,63.410869999999996,235.1983,83.9248,9.80842756327398
1257694565775730688,GALAXY,STARBURST,0.07841583,309.7023,-0.22637,1117,234,52885,429.2838,98.89053,282.5724,642.7031,2897.423,1238.086,11.116169346537198
1106787686959572992,GALAXY,STARBURST,0.053935300000000005,313.83986,-0.4135969,983,102,52443,389.1815,100.4663,300.6974,243.6258,857.1979,161.17700000000002,10.070017488963302
1107959766338004992,GALAXY,,0.16102139999999998,313.84397,-0.21567006,984,270,52442,-2.921211,0.5868384,-3.145225,2.777259,1.719148,-2.5048169999999996,11.3058417453445
1151825063914268672,GALAXY,STARBURST,0.10526569999999999,313.97955,-0.38000929,1023,107,52818,100.9711,60.348180000000006,166.9989,87.07244,284.0529,55.076190000000004,9.811521031712509
1109017496339376128,GALAXY,STARBURST,0.06095252,317.92962,-0.2488862,985,22,52431,104.6725,34.55397,110.3786,64.19955999999999,210.2455,29.927120000000002,9.80370657856509
1113576896802613248,GALAXY,STARBURST,0.0312197,323.21668999999997,-0.31125654,989,225,52468,175.921,42.29002,132.1998,126.7821,394.1497,78.76794,9.76424917347831
1106898462756071424,GALAXY,,0.1760007,313.88698,0.08226390900000001,983,505,52443,-0.5923653,-1.582652,-0.08375362,9.177752,4.5662650000000005,2.52705,11.4977887107129
1111306681091909632,GALAXY,STARBURST,0.01949662,320.20437999999996,0.046689728,987,158,52523,0.0,30.898120000000002,94.39792,44.383359999999996,160.0611,16.62818,7.17008324091467
1112435329727490048,GALAXY,,0.13834649999999998,322.35954,0.090530788,988,168,52520,22.10381,3.895234,11.80077,21.91191,52.486580000000004,75.77436,11.666423345841599
1106852008389797888,GALAXY,STARFORMING,0.05860396,312.35309,0.90689593,983,336,52443,136.8046,28.28299,91.41154,104.9599,572.1282,282.7512,10.8816385455104
1107976259012421632,GALAXY,,0.1589779,313.96516,0.89644997,984,330,52442,2.983414,-3.223647,15.1947,11.5236,22.06444,29.16436,11.268735813668599
1109110679949830144,GALAXY,,0.16768110000000003,316.18304,0.93134243,985,361,52431,2.826076,2.996542,1.411721,3.779061,6.653337,2.397042,11.3985002505308
1110234106156836864,GALAXY,,0.1518655,317.5573,0.99086216,986,352,52443,1.677544,5.088312,11.57072,6.709708,12.90208,12.831710000000001,11.5252007932125
1111438072731428864,GALAXY,,0.13500920000000002,321.44315,0.93110248,987,636,52523,20.08407,-3.9031309999999997,25.48786,17.80568,37.90359,26.517590000000002,11.7507126072134
1112485357506553856,GALAXY,,0.14104029999999998,321.45848,0.94010663,988,350,52520,-0.13085750000000002,-1.447863,8.08279,19.31329,18.25986,1.916434,11.222973648169802
1247612049886832640,GALAXY,,0.13267679999999998,325.82892000000004,0.99469,1108,418,53227,13.573770000000001,4.491521,9.528616,2.428487,5.826247,12.220239999999999,11.319865014559099
